#separator:pipe
#html:true
#deck:sonaveeb-b1-deck
#columns:front|frontExamples|frontWordForms|back
aabits|<ol><li>raamat kirjaoskuse algete omandamiseks,raamat, mille abil lapsed lugema õpivad<br><ul><li>Esimene eestikeelne aabits.</li><li>Ilmus uus 1. klassi aabits.</li></ul><li>mingi valdkonna algteadmisi sisaldav raamat,algteadmised millestki<br><ul><li>Lavakunsti aabits.</li><li>Sa pole käitumise aabitsatki selgeks saanud.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aabits</td><td>aabitsad</td></tr><tr><td>omas</td><td>aabitsa</td><td>aabitsate</td></tr><tr><td>osas</td><td>aabitsat</td><td>aabitsaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>букварь, азбука, <span style="opacity: 0.5123529411764706">букварь</span>, <span style="opacity: 0.5123529411764706">азбука</span></li><li>азбука, <span style="opacity: 0.5123529411764706">азбука</span>, <span style="opacity: 0.4117647058823529">азы</span>, <span style="opacity: 0.4117647058823529">начатки</span>, <span style="opacity: 0.4117647058823529">азбучные знания</span></li></ol>
aas|<ol><li>nööri, traadi vms suletud keerd, (lihtsam või kokkutõmbamata) sõlm või selle osa<br><ul><li>Tegi riputamiseks nööri otsa aasa.</li></ul><li>kaarekujuline niidist, nöörist, riidest, metallist moodustis, hrl rõiva kinnisel<br><ul><li>Üritas püksirihma aasade vahelt läbi toppida.</li></ul><li>hrl U-kujuline metallist kinnitusvahend<br><ul><li>Haak kolksatas aasa ja aken oligi kinni.</li></ul><li>silmusjas looge, käänak<br><ul><li>Lookleva metsatee haagid ja aasad panid südame pööritama.</li></ul></ol><ol><li>looduslik rohumaa (heina- või karjamaa),suur looduslik maa-ala, kus kasvavad rohi ja lilled ning kust saab heina<br><ul><li>Kitsekari kepsles aasal.</li><li>Tüdrukud korjasid aasal karikakraid.</li><li>Kari sööb aasal.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aas</td><td>aasad</td></tr><tr><td>omas</td><td>aasa</td><td>aasade</td></tr><tr><td>osas</td><td>aasa</td><td>aasu,aasasid</td></tr><tr><td>lüh sütl</td><td>aasa</td><td></td></tr></tbody></table><table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aas</td><td>aasad</td></tr><tr><td>omas</td><td>aasa</td><td>aasade</td></tr><tr><td>osas</td><td>aasa</td><td>aasu,aasasid</td></tr><tr><td>lüh sütl</td><td>aasa</td><td></td></tr></tbody></table>|<ol><li>петля, петелька, <span style="opacity: 0.5294117647058824">ушко</span>, <span style="opacity: 0.5294117647058824">проушина</span>, <span style="opacity: 0.5294117647058824">ушко</span></li><li>петля, петлица, <span style="opacity: 0.5294117647058824">петелька</span>, <span style="opacity: 0.5294117647058824">петля</span></li><li>скоба, пробой, <span style="opacity: 0.5294117647058824">ушко</span></li><li>петля, <span style="opacity: 0.4117647058823529">петля</span></li></ol><ol><li>поляна, луг, сенокос, покос, пожня</li></ol>
aastaaeg|<ol><li>igal aastal korduv, looduslikult erineva ilmega osa aastast (kevad, suvi, sügis või talv),üks neljast aasta osast: kevad, suvi, sügis või talv<br><ul><li>See kaunis paik väärib vaatamist igal aastaajal.</li><li>Praegusel aastaajal on vesi ujumiseks liiga külm.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aastaaeg</td><td>aastaajad</td></tr><tr><td>omas</td><td>aastaaja</td><td>aastaaegade</td></tr><tr><td>osas</td><td>aastaaega</td><td>aastaaegu,aastaaegasid</td></tr><tr><td>lüh sütl</td><td>aastaaega</td><td></td></tr></tbody></table>|<ol><li>время года, сезон</li></ol>
aastavahetus|<ol><li>kalendriaasta vahetumine,vana aasta lõpp ja uue aasta algus,vana aasta lõpp ja uue aasta algus<br><ul><li>Tahtsin enne aastavahetust kõikide töödega ühele poole saada.</li><li>Ilusat aastavahetust!</li><li>Aastavahetusel oli võimas ilutulestik.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aastavahetus</td><td>aastavahetused</td></tr><tr><td>omas</td><td>aastavahetuse</td><td>aastavahetuste</td></tr><tr><td>osas</td><td>aastavahetust</td><td>aastavahetusi</td></tr><tr><td>lüh sütl</td><td>aastavahetusse</td><td></td></tr></tbody></table>|<ol><li>конец года, канун Нового года, смена года, конец старого и начало нового года, <span style="opacity: 0.37">конец года</span></li></ol>
abielupaar|<ol><li>abielumees ja -naine, abikaasad,mees ja naine, kes on abielus, abikaasad<br><ul><li>Nendest saab varsti abielupaar.</li><li>Kui Laura sai neli, lapsendas ta vanem abielupaar.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>abielupaar</td><td>abielupaarid</td></tr><tr><td>omas</td><td>abielupaari</td><td>abielupaaride</td></tr><tr><td>osas</td><td>abielupaari</td><td>abielupaare,abielupaarisid</td></tr><tr><td>lüh sütl</td><td>abielupaari</td><td></td></tr></tbody></table>|<ol><li>супружеская пара, супруги, чета, <span style="opacity: 0.5294117647058824">семейные люди</span>, <span style="opacity: 0.5294117647058824">супружеская пара</span></li></ol>
abinõu|<ol><li>mingi eesmärgi saavutamiseks rakendatav tegevus või toiming(ud),meetod või vahend mingi eesmärgi saavutamiseks<br><ul><li>Probleemi lahendamisel oleks kohtusse pöördumine äärmuslik abinõu.</li><li>Kuuldavasti kavatseb mees õige karmi abinõu tarvitusele võtta ja abielu lahutada.</li><li>Kas müra vähendamiseks rakendatud abinõud on piisavad?</li><li>Ükski abinõu pole aidanud.</li><li>Eesmärk pühendab abinõu.</li></ul><li>riist, (abi)vahend<br><ul><li>Nüüd pole käsiõngi enam, nüüd on teised abinõud.</li><li>Polnud mingit abinõu, millega konservikarpe avada.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>abinõu</td><td>abinõud</td></tr><tr><td>omas</td><td>abinõu</td><td>abinõude</td></tr><tr><td>osas</td><td>abinõu</td><td>abinõusid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>средство, мера, мероприятие, <span style="opacity: 0.5294117647058824">шаг</span>, <span style="opacity: 0.5294117647058824">мера</span></li><li>средство, <span style="opacity: 0.5294117647058824">инструмент</span>, <span style="opacity: 0.5294117647058824">машина</span>, <span style="opacity: 0.5294117647058824">орудие</span>, <span style="opacity: 0.5294117647058824">средство</span></li></ol>
abistama|<ol><li>kellelegi abi osutama, nõu, jõuga vm moel abiks või toeks olema,kellelegi midagi kasulikku tegema, abiks olema<br><ul><li>Õpetati, kuidas abistada uppujat.</li><li>Välisministeerium otsustas abistada Liibanoni pagulasi.</li><li>Lapsed abistavad ema söögivalmistamisel.</li><li>Poeg abistab mind kodustes töödes.</li></ul></ol>|<table><thead><tr><th>-ma</th><th>-da</th><th>-n</th></tr></thead><tbody><tr><td>abistama</td><td>abistada</td><td>abistan</td></tr></tbody></table>|<ol><li>помогать, помочь, оказывать помощь, оказать помощь, <span style="opacity: 0.5294117647058824">подставить плечо</span></li></ol>
abivalmis|<ol><li>selline, kes on meelsasti nõus abistama,kui inimene on <eki-highlight>abivalmis</eki-highlight>, siis ta tahab sind aidata<br><ul><li>Lahke ja abivalmis teenindaja.</li><li>Stjuardessid olid väga abivalmis.</li><li>Abivalmid töötajad vastasid kõikidele küsimustele.</li><li>Mäletan teda omakasupüüdmatu ja abivalmi inimesena.</li><li>Müüjad olid väga lahked ja abivalmis/abivalmid.</li></ul></ol>||<ol><li>отзывчивый, предупредительный, готовый прийти на помощь, готовый оказать помощь, <span style="opacity: 0.4694117647058824">приветливый</span></li></ol>
administraator|<ol><li>hotelli vm asutuse igapäevast tööd korraldav ametiisik,inimene, kelle töö on korraldada igapäevaseid praktilisi asju, näiteks hotellis või restoranis<br><ul><li>Hotelli administraator.</li><li>Probleemi korral võtke ühendust kooli administraatoriga.</li><li>Täpsemat infot saate administraatori käest.</li></ul><li>juhtimis- ja korraldamisoskustega inimene<br><ul><li>Hea spetsialist on tihtipeale nõrk administraator ja direktoriks ei sobi.</li></ul><li>infotehnoloogias mingi töölõigu eest vastutaja<br><ul><li>Jutufoorumi administraator.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>administraator</td><td>administraatorid</td></tr><tr><td>omas</td><td>administraatori</td><td>administraatorite</td></tr><tr><td>osas</td><td>administraatorit</td><td>administraatoreid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>администратор, администраторша, рецепционист, <span style="opacity: 0.4117647058823529">работник за стойкой</span>, <span style="opacity: 0.4117647058823529">работница за стойкой</span></li><li>администратор, <span style="opacity: 0.4117647058823529">руководитель</span>, <span style="opacity: 0.4117647058823529">глава</span>, <span style="opacity: 0.4117647058823529">предводитель</span>, <span style="opacity: 0.4117647058823529">командир</span></li><li>администратор, админ, <span style="opacity: 0.4117647058823529">админ</span></li></ol>
advokaat|<ol><li>õigusabi osutav, kedagi kohtus esindav ning kaitsev jurist,jurist, kelle töö on kohtus kedagi kaitsta ja talle nõu anda<br><ul><li>Võtsin endale advokaadi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>advokaat</td><td>advokaadid</td></tr><tr><td>omas</td><td>advokaadi</td><td>advokaatide</td></tr><tr><td>osas</td><td>advokaati</td><td>advokaate,advokaatisid</td></tr><tr><td>lüh sütl</td><td>advokaati</td><td></td></tr></tbody></table>|<ol><li>адвокат, <span style="opacity: 0.5294117647058824">защитник</span>, <span style="opacity: 0.5294117647058824">защитница</span>, <span style="opacity: 0.33999999999999997">консультант по правовым вопросам</span>, <span style="opacity: 0.33999999999999997">правовой консультант</span></li></ol>
